ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
Man Wah Holdings Limited (SEHK:1999),4916289,SEHK,Consumer Discretionary; Consumer Durables and Apparel; Household Durables; Home Furnishings; Mattresses and Beds; Metal Household Furniture; Wood Household Furniture,2.34,1.31,2.40,4.12,4.67,"19,969.32",14.70,21.35,24.26,21.71,19.18,14.70,50.55,30.31,43.46,51.05,65.57,3.00,5.55,85.00,5.52,16.82,204.71,17.10,12.08,(29.36),11.54,7.77,(32.67),7.83,5.35,(31.67),,,,2.34,85.00,,50.55,85.00
Metallurgical Corporation of China Ltd. (SEHK:1618),4352229,SEHK,Industrials; Capital Goods; Construction and Engineering; Construction and Engineering; Construction Support Services; Engineering and Surveying Services; Engineering Services; Nonbuilding Structures Construction; Heavy Construction; Specialty Contract Work,4.55,5.75,4.53,5.28,5.98,"69,376.86",6.92,6.90,7.29,7.96,8.26,6.92,128.76,91.68,78.26,62.82,73.72,1.88,1.75,(6.91),1.79,1.37,(23.46),1.41,1.99,41.13,2.05,1.73,(15.61),1.75,1.52,(13.14),,,,4.55,-6.91,,128.76,-6.91
Midea Real Estate Holding Limited (SEHK:3990),10735009,SEHK,"Real Estate; Real Estate Management and Development; Real Estate Development; Land Sub Dividers and Developers, except Cemetery; Real Estate Management and Development; Land Sub Dividers And Developers",5.13,9.24,13.20,13.29,14.90,"5,138.77",4.23,15.81,13.53,12.05,7.29,4.23,40.58,38.18,42.80,52.23,50.39,16.16,23.90,47.90,24.55,17.32,(29.45),16.80,12.12,(27.86),11.84,12.04,1.69,12.12,5.37,(55.69),,,,5.13,47.90,,40.58,47.90
Minth Group Limited (SEHK:425),4914520,SEHK,Consumer Discretionary; Automobiles and Components; Automobile Components; Automotive Parts and Equipment,2.40,1.60,1.67,2.98,3.66,"14,548.16",10.66,12.53,9.74,9.91,8.94,10.66,39.48,49.76,36.76,41.02,NA,24.30,27.50,13.17,28.85,40.90,41.77,40.90,34.35,(16.01),33.45,21.15,(36.77),21.35,15.78,(26.09),,,,2.40,13.17,,39.48,13.17
"Miramar Hotel and Investment Company, Limited (SEHK:71)",4982119,SEHK,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Hotels, Resorts and Cruise Lines; Travel and Tourism Services; Travel Agencies; Lodging; Hotels And Motels; Hotels",3.89,4.31,3.75,3.86,4.86,"6,826.68",4.99,6.82,1.54,1.68,2.43,4.99,32.72,128.17,100.52,67.64,NA,15.04,15.70,4.39,15.66,13.00,(16.99),12.90,12.80,(0.78),12.88,12.18,(5.43),12.30,10.70,(13.01),,,,3.89,4.39,,32.72,4.39
MTR Corporation Limited (SEHK:66),4259264,SEHK,Industrials; Transportation; Ground Transportation; Rail Transportation; Railroad Transportation of Passengers; Commuter Rail Systems,2.61,2.84,2.94,3.48,4.32,"150,145.31",4.51,6.58,(2.65),5.42,5.64,4.51,55.72,NM,75.01,87.13,97.57,40.50,46.05,13.70,45.90,43.35,(5.56),44.15,41.85,(5.21),42.15,41.35,(1.90),41.80,30.30,(27.51),,,,2.61,13.70,,55.72,13.70
NetDragon Websoft Holdings Limited (SEHK:777),4969307,SEHK,Media and Entertainment; Interactive Home Entertainment; Entertainment Software; Computer and Mobile Games; Communication Services; Entertainment,1.64,2.88,3.55,4.77,6.46,"5,673.88",7.00,13.84,14.25,14.32,11.17,7.00,17.32,26.75,28.44,43.40,159.46,11.96,18.32,53.18,18.90,17.38,(8.04),17.38,18.32,5.41,18.14,16.76,(7.61),16.78,12.38,(26.22),,,,1.64,53.18,,17.32,53.18
New World Development Company Limited (SEHK:17),4143428,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,4.78,5.65,6.68,9.36,6.27,"20,007.23",1.47,8.16,1.18,1.60,1.45,1.47,7.16,474.42,457.78,412.00,602.56,40.56,42.72,5.33,42.80,36.10,(15.65),36.80,30.85,(16.17),30.45,22.00,(27.75),22.75,12.12,(46.73),,,,4.78,5.33,,7.16,5.33
Nexteer Automotive Group Limited (SEHK:1316),4631322,SEHK,Consumer Discretionary; Automobiles and Components; Automobile Components; Automotive Parts and Equipment; Motor Vehicle Safety and Security Systems; Steering and Suspension System Components,3.43,3.01,0.75,1.45,0.74,"9,813.41",2.27,13.18,6.48,6.44,3.29,2.27,33.44,69.79,19.91,41.10,NA,10.90,7.06,(35.23),7.06,8.33,17.99,8.82,9.68,9.75,9.68,5.11,(47.21),5.25,4.93,(6.10),,,,3.43,-35.23,,33.44,-35.23
Nissin Foods Company Limited (SEHK:1475),6348755,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Frozen Foods; Prepared and Preserved Foods; Snack Food; Seasonings and Preservatives; Sauces And Salad Dressings; Packaged Food Mixes",1.53,1.83,2.35,2.18,2.43,"5,176.53",9.23,7.63,8.58,8.32,9.11,9.23,40.67,41.63,49.42,48.01,NA,3.61,6.19,71.47,6.22,6.38,2.57,6.38,5.97,(6.43),6.10,6.69,9.67,6.72,6.25,(6.99),,,,1.53,71.47,,40.67,71.47
NWS Holdings Limited (SEHK:659),4995427,SEHK,Industrials; Capital Goods; Industrial Conglomerates; Industrial Conglomerates,5.31,8.07,8.07,9.04,8.29,"25,349.18",5.12,7.93,1.94,3.02,3.35,5.12,69.20,341.46,168.08,135.02,115.29,15.86,10.92,(31.15),11.10,7.19,(35.23),7.51,7.31,(2.66),7.48,6.75,(9.76),6.80,7.36,8.24,,,,5.31,-31.15,,69.20,-31.15
Orient Overseas (International) Limited (SEHK:316),4994763,SEHK,Industrials; Transportation; Marine Transportation; Marine Transportation Of Freight; Cargo or Container Ships; Marine Transportation,2.17,0.76,9.22,33.40,23.65,"62,702.44",11.11,3.19,17.09,93.10,86.25,11.11,6.66,132.81,20.23,40.03,159.32,52.20,37.80,(27.59),37.70,77.50,105.57,81.65,191.30,134.29,201.00,141.00,(29.85),141.70,109.00,(23.08),,,,2.17,-27.59,,6.66,-27.59
Pacific Basin Shipping Limited (SEHK:2343),4296133,SEHK,Industrials; Transportation; Marine Transportation; Marine Transportation; Marine Transportation Of Freight; Cargo or Container Ships,2.26,1.44,4.90,29.17,9.14,"12,422.62",5.90,2.00,(17.79),58.35,37.55,5.90,86.87,NM,10.24,102.04,144.04,1.48,1.64,10.81,1.64,1.46,(10.98),1.54,2.86,85.71,3.00,2.64,(12.00),2.62,2.57,(1.91),,,,2.26,10.81,,86.87,10.81
PAX Global Technology Limited (SEHK:327),4972219,SEHK,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Electronic Equipment and Instruments",2.19,1.89,3.99,4.74,6.61,"6,808.98",16.19,13.96,17.53,18.16,18.98,16.19,14.11,15.64,32.37,27.30,NA,2.87,3.65,27.18,3.77,6.88,82.49,7.02,5.52,(21.37),5.43,6.75,24.31,6.80,6.05,(11.03),,,,2.19,27.18,,14.11,27.18
PCCW Limited (SEHK:8),4163694,SEHK,Communication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services,6.84,6.89,8.19,10.58,9.19,"29,907.71",18.61,15.27,8.74,18.93,13.64,18.61,356.98,NM,206.64,791.86,NM,4.52,4.61,1.99,4.61,4.67,1.30,4.60,3.95,(14.13),3.97,3.52,(11.34),3.61,4.16,15.24,,,,6.84,1.99,,356.98,1.99
PetroChina Company Limited (SEHK:857),5985856,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Integrated Oil and Gas",3.81,6.01,7.57,9.71,9.14,"2,068,620.15",11.40,4.70,2.38,8.27,11.10,11.40,66.28,147.73,43.25,NA,NA,4.63,3.91,(15.55),3.93,2.40,(38.93),2.40,3.47,44.58,3.48,3.57,2.59,3.60,5.16,43.33,,,,3.81,-15.55,,66.28,-15.55
PICC Property and Casualty Company Limited (SEHK:2328),4141028,SEHK,Financials; Insurance; Insurance; Property and Casualty Insurance; Casualty; Accident Insurance; Fire and Marine Insurance; Liability Insurance; Property; Commercial Property Insurance; Surety Insurance; Personal Property Insurance; Homeowner's and Renter's Insurance; Motor Vehicle Insurance,3.29,8.59,7.13,6.41,5.65,"221,760.37",10.78,15.59,11.59,11.31,13.63,10.78,42.28,40.62,38.43,34.97,44.24,7.78,9.39,20.69,9.58,5.87,(38.73),5.88,6.37,8.33,6.47,7.41,14.53,7.38,9.28,25.75,,,,3.29,20.69,,42.28,20.69
"Postal Savings Bank of China Co., Ltd. (SEHK:1658)",4395358,SEHK,Banks; Banks; Diversified Banks; Diversified Commercial Banks; Financials,4.15,5.22,4.58,5.98,7.50,"488,870.89",9.70,11.97,10.56,10.42,10.53,9.70,29.19,29.89,30.20,28.81,31.44,4.15,5.30,27.71,5.35,4.38,(18.13),4.38,5.47,24.89,5.54,4.85,(12.45),4.96,3.73,(24.80),,,,4.15,27.71,,29.19,27.71
Power Assets Holdings Limited (SEHK:6),4098381,SEHK,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,4.91,6.67,5.80,6.60,6.23,"92,170.30",6.84,8.44,7.20,7.16,6.51,6.84,83.80,97.46,98.03,106.55,NA,53.50,57.00,6.54,57.15,42.00,(26.51),42.70,48.60,13.82,49.25,42.75,(13.20),43.05,45.25,5.11,,,,4.91,6.54,,83.80,6.54
"Qingdao Port International Co., Ltd. (SEHK:6198)",4995333,SEHK,Transportation; Transportation Infrastructure; Marine Cargo Services; Industrials; Marine Ports and Services,7.87,4.57,7.29,7.95,7.03,"53,413.62",12.86,13.12,12.57,12.16,12.92,12.86,70.27,37.89,49.68,40.62,38.22,5.06,5.53,9.29,5.61,4.79,(14.62),4.84,4.32,(10.74),4.37,3.78,(13.50),3.85,4.23,9.87,,,,7.87,9.29,,70.27,9.29
"Qinhuangdao Port Co., Ltd. (SEHK:3369)",4995404,SEHK,Industrials; Transportation; Transportation Infrastructure; Marine Ports and Services; Marine Cargo Services; Towing and Tugboat Services,5.99,7.54,6.11,6.02,5.76,"18,221.06",8.32,5.42,5.68,6.04,7.73,8.32,82.69,82.05,65.08,46.86,41.44,1.76,1.46,(17.05),1.47,1.30,(11.56),1.30,1.26,(3.08),1.25,1.09,(12.80),1.12,1.34,19.64,,,,5.99,-17.05,,82.69,-17.05
Sany Heavy Equipment International Holdings Company Limited (SEHK:631),4994667,SEHK,Industrials; Capital Goods; Construction Machinery and Heavy Transportation Equipment; Heavy Duty Trucks; Industrial Trucks and Trailers; Machinery; Dump Truck Lifting Mechanisms,2.35,2.07,1.99,1.87,2.52,"16,282.57",16.99,13.57,14.02,15.73,17.67,16.99,34.93,37.70,35.80,28.00,NA,2.64,4.26,61.36,4.46,5.80,30.04,5.87,7.54,28.45,7.79,8.02,2.95,8.00,7.55,(5.63),,,,2.35,61.36,,34.93,61.36
Shandong Weigao Group Medical Polymer Company Limited (SEHK:1066),4812322,SEHK,Health Care; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Supplies; Medical Consumables,1.34,0.79,1.80,1.35,2.19,"22,030.45",8.69,11.96,12.31,12.31,13.01,8.69,38.46,33.61,28.70,27.23,NA,6.06,9.34,54.13,9.16,17.52,91.27,17.00,9.73,(42.76),9.91,12.82,29.36,13.04,7.61,(41.64),,,,1.34,54.13,,38.46,54.13
Shandong Xinhua Pharmaceutical Company Limited (SEHK:719),4810873,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products; Anti-infective Drugs; Cardiovascular Drugs; Central Nervous System Drugs",2.98,3.70,3.87,2.16,3.79,"8,939.36",11.09,10.91,10.68,10.28,10.65,11.09,38.80,39.05,42.59,39.66,35.43,3.61,3.82,5.82,3.88,3.55,(8.51),3.52,4.65,32.10,4.57,8.15,78.34,8.38,5.78,(31.03),,,,2.98,5.82,,38.80,5.82
"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co.,Ltd. (SEHK:1349)",4811405,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Pharmaceutical Products; Cardiovascular Drugs; Anti-infective Drugs; Oncology Drugs",1.83,2.03,1.59,2.48,3.13,"5,842.77",4.70,23.38,11.17,10.12,6.18,4.70,30.88,42.37,24.45,51.48,70.10,3.96,4.46,12.63,4.48,3.81,(14.96),3.89,3.85,(1.03),3.91,3.47,(11.25),3.50,2.55,(27.14),,,,1.83,12.63,,30.88,12.63
"Shanghai Haohai Biological Technology Co., Ltd. (SEHK:6826)",4811438,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Biotechnology; Biotechnology",1.24,1.64,1.18,2.23,1.09,"14,911.70",6.92,7.93,3.98,5.89,3.18,6.92,21.58,53.92,24.96,70.31,17.69,38.30,47.10,22.98,46.85,46.80,(0.11),48.15,51.50,6.96,52.00,36.85,(29.13),36.35,40.30,10.87,,,,1.24,22.98,,21.58,22.98
Shanghai Industrial Holdings Limited (SEHK:363),6333815,SEHK,Industrials; Capital Goods; Industrial Conglomerates; Industrial Conglomerates,6.67,4.53,8.80,9.95,9.49,"11,415.72",5.87,7.50,5.07,5.03,4.21,5.87,16.88,36.26,29.03,45.11,NA,15.30,15.00,(1.96),15.12,10.60,(29.89),10.68,11.36,6.37,11.36,9.65,(15.05),9.94,9.69,(2.52),,,,6.67,-1.96,,16.88,-1.96
Shenzhen Expressway Corporation Limited (SEHK:548),4995088,SEHK,Industrials; Transportation; Transportation Infrastructure; Highways and Railtracks,3.67,7.79,6.87,10.79,8.28,"21,390.73",8.62,12.86,9.45,9.71,6.64,8.62,85.11,87.28,95.19,130.40,105.14,8.54,11.18,30.91,11.52,7.30,(36.63),7.29,7.55,3.57,7.64,6.73,(11.91),6.86,6.31,(8.02),,,,3.67,30.91,,85.11,30.91
Shenzhen International Holdings Limited (SEHK:152),4995063,SEHK,Industrials; Transportation; Transportation Infrastructure; Highways and Railtracks,2.10,4.23,1.51,1.63,3.91,"14,215.30",5.27,15.51,11.41,9.88,3.15,5.27,39.21,82.02,15.19,54.20,NA,14.94,17.12,14.59,17.20,12.52,(27.21),12.42,8.10,(34.78),8.22,7.66,(6.81),7.66,6.58,(14.10),,,,2.10,14.59,,39.21,14.59
Shenzhen Investment Limited (SEHK:604),4143421,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,5.77,6.77,10.71,8.21,12.17,"8,275.88",0.40,9.33,7.64,(3.83),4.73,0.40,37.87,42.83,NM,64.02,NM,2.52,3.12,23.81,3.16,2.66,(15.82),2.64,1.68,(36.36),1.67,1.34,(19.76),1.37,1.15,(16.06),,,,5.77,23.81,,37.87,23.81
Shenzhou International Group Holdings Limited (SEHK:2313),4914521,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Apparel",1.58,1.25,1.44,1.86,2.24,"103,797.51",14.32,20.81,19.38,12.25,15.59,14.32,47.16,50.57,80.60,45.22,NA,86.80,113.90,31.22,114.70,152.00,32.52,150.40,149.90,(0.33),138.20,87.80,(36.47),88.65,80.40,(9.31),,,,1.58,31.22,,47.16,31.22
Shoucheng Holdings Limited (SEHK:697),4491799,SEHK,Real Estate; Real Estate Management and Development; Real Estate Management and Development; Diversified Real Estate Activities,5.21,5.25,6.19,5.06,212.36,"10,000.67",4.58,4.69,5.85,(10.06),9.03,4.58,26.10,121.49,NM,95.22,NA,0.96,1.93,100.52,1.93,2.20,14.29,2.16,1.55,(28.24),1.56,1.90,21.79,1.91,1.57,(17.80),,,,5.21,100.52,,26.10,100.52
Shougang Fushan Resources Group Limited (SEHK:639),4354182,SEHK,Materials; Materials; Metals and Mining; Steel; Metallurgical (Coking) Coal Mining,10.12,8.90,6.44,18.88,13.19,"14,681.98",12.39,6.96,6.92,16.80,17.49,12.39,77.63,79.68,33.83,88.13,NA,1.55,1.68,8.39,1.70,1.82,7.06,1.85,2.64,42.70,2.32,2.49,7.33,2.52,2.88,14.29,,,,10.12,8.39,,77.63,8.39
Sichuan Expressway Company Limited (SEHK:107),4995058,SEHK,Industrials; Transportation; Transportation Infrastructure; Highways and Railtracks,4.66,6.65,4.64,7.08,4.56,"15,930.70",6.59,7.28,4.47,11.13,3.37,6.59,101.49,160.26,55.93,266.03,141.02,2.38,2.44,2.52,2.45,1.80,(26.53),1.82,2.08,14.29,2.07,1.82,(12.08),1.84,2.44,32.61,,,,4.66,2.52,,101.49,2.52
Sino Biopharmaceutical Limited (SEHK:1177),4811882,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Pharmaceutical Products; Cardiovascular Drugs; Oncology Drugs; Respiratory Drugs; Medicinal Chemicals and Botanical Products; Pharmaceutical Research and Development",0.73,0.89,1.83,2.48,2.31,"46,589.00",12.12,16.48,20.20,55.25,13.22,12.12,29.68,42.84,6.42,49.84,NA,3.31,7.27,119.32,7.33,7.50,2.27,7.70,5.46,(29.09),5.62,4.57,(18.68),4.63,3.47,(25.05),,,,0.73,119.32,,29.68,119.32
Sino Land Company Limited (SEHK:83),4143454,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,4.86,5.45,5.66,5.84,6.83,"65,606.88",3.66,4.89,1.15,6.92,3.79,3.66,53.32,225.32,62.11,74.97,78.70,13.16,11.32,(13.98),11.40,10.10,(11.40),10.20,9.71,(4.80),9.66,9.76,1.04,10.12,8.49,(16.11),,,,4.86,-13.98,,53.32,-13.98
Sinofert Holdings Limited (SEHK:297),4354297,SEHK,Materials; Materials; Chemicals; Fertilizers and Agricultural Chemicals; Nitrogenous Fertilizers; Phosphatic Fertilizers,2.77,3.87,2.79,5.56,6.85,"5,619.56",6.96,8.62,8.24,10.27,12.02,6.96,23.24,30.22,22.45,28.81,NA,0.87,0.81,(6.90),0.82,0.76,(7.32),0.76,1.17,53.95,1.25,0.95,(24.00),0.95,0.91,(4.21),,,,2.77,-6.90,,23.24,-6.90
"SINOPEC Engineering (Group) Co., Ltd. (SEHK:2386)",4990128,SEHK,"Industrials; Capital Goods; Construction and Engineering; Construction and Engineering; Construction Support Services; Heavy Construction; Commercial Construction and Engineering; Commercial Construction, General Contractors and Operative Builders; Commercial and Institutional Buildings; Industrial Buildings and Warehouses; Construction Management Services; Engineering and Surveying Services; Engineering Services; Nonbuilding Structures Construction",5.56,11.32,8.80,11.57,9.08,"20,991.40",7.67,8.20,8.58,7.42,7.73,7.67,47.05,58.06,55.77,64.09,60.77,6.53,4.66,(28.64),4.80,3.34,(30.42),3.46,3.85,11.27,3.84,3.43,(10.68),3.52,4.00,13.64,,,,5.56,-28.64,,47.05,-28.64
Sinopec Kantons Holdings Limited (SEHK:934),4980643,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Oil and Gas Storage and Transportation",5.49,7.41,6.54,6.78,6.55,"9,397.68",8.55,9.08,9.41,6.97,2.66,8.55,34.82,21.60,47.34,114.34,NA,3.34,3.28,(1.80),3.29,2.70,(17.93),2.82,3.06,8.51,3.08,2.95,(4.22),2.88,3.36,16.67,,,,5.49,-1.80,,34.82,-1.80
Sinopharm Group Co. Ltd. (SEHK:1099),4811392,SEHK,Health Care; Healthcare Equipment Distribution; Health Care Equipment and Services; Health Care Providers and Services; Health Care Distributors; Pharmaceutical Product Distribution,2.36,3.46,4.95,4.40,4.41,"60,977.62",13.03,14.63,14.50,13.78,13.68,13.03,28.04,25.95,27.75,27.45,NA,31.05,28.45,(8.37),28.35,18.86,(33.47),18.98,16.96,(10.64),17.40,19.84,14.02,20.35,20.45,0.49,,,,2.36,-8.37,,28.04,-8.37
Sinotrans Limited (SEHK:598),4241666,SEHK,Industrials; Transportation; Air Freight and Logistics; Air Freight and Logistics; Charter Freight Air Transportation; Services Incidental to Road Transportation of Freight; Freight Loading and Unloading; Freight Packing and Crating,5.75,4.67,5.71,8.89,8.25,"45,203.44",11.56,10.08,9.19,11.69,11.88,11.56,36.40,32.27,23.92,51.00,42.02,3.33,2.65,(20.42),2.71,2.82,4.06,2.86,2.50,(12.59),2.54,2.54,0.00,2.56,3.27,27.73,,,,5.75,-20.42,,36.40,-20.42
Sinotruk (Hong Kong) Limited (SEHK:3808),4994628,SEHK,Industrials; Capital Goods; Machinery; Construction Machinery and Heavy Transportation Equipment; Heavy Duty Trucks; Construction Machinery and Equipment; Truck Bodies,3.85,1.97,8.67,6.25,2.15,"59,637.46",12.82,13.54,22.77,12.01,4.78,12.82,44.75,14.47,55.83,86.60,NA,11.16,16.62,48.92,16.68,19.80,18.71,19.38,12.00,(38.08),11.90,10.88,(8.57),11.18,15.32,37.03,,,,3.85,48.92,,44.75,48.92
SITC International Holdings Company Limited (SEHK:1308),4539927,SEHK,Industrials; Transportation; Marine Transportation; Marine Transportation; Marine Transportation Of Freight; Cargo or Container Ships,4.63,2.93,5.67,21.89,16.32,"40,668.72",26.18,21.45,31.94,86.11,105.95,26.18,68.14,77.40,47.47,80.95,141.51,7.00,9.50,35.71,9.60,16.74,74.38,18.00,28.20,56.67,29.65,17.36,(41.45),17.48,13.48,(22.88),,,,4.63,35.71,,68.14,35.71
SSY Group Limited (SEHK:2005),4812016,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products",1.58,2.50,2.49,3.02,3.04,"13,657.60",19.25,23.78,11.00,12.71,18.25,19.25,26.62,54.39,38.52,34.57,NA,5.56,6.31,13.49,6.45,4.40,(31.78),4.50,4.02,(10.67),4.02,4.31,7.21,4.90,4.94,0.82,,,,1.58,13.49,,26.62,13.49
Sun Art Retail Group Limited (SEHK:6808),4911901,SEHK,Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Consumer Staples Merchandise Retail; Hypermarkets and Super Centers,1.48,1.90,4.15,1.76,3.21,"13,737.17",0.32,12.43,11.60,NA,(3.12),0.32,40.68,NA,36.67,NM,345.87,7.70,9.45,22.73,9.40,7.88,(16.17),7.90,3.13,(60.38),3.13,2.56,(18.21),2.74,1.40,(48.91),,,,1.48,22.73,,40.68,22.73
Sun Hung Kai Properties Limited (SEHK:16),4143426,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,4.15,4.95,5.23,4.63,5.86,"201,540.62",4.05,8.19,4.17,4.61,4.33,4.05,31.94,60.96,53.75,56.12,60.00,108.80,119.30,9.65,118.50,100.00,(15.61),103.30,94.60,(8.42),94.55,106.80,12.96,109.20,84.45,(22.66),,,,4.15,9.65,,31.94,9.65
SUNeVision Holdings Ltd. (SEHK:1686),4967253,SEHK,Information Technology; Software and Services; Co-location/Data Centers; IT Services; Infrastructure Services; Internet Services and Infrastructure,3.13,2.48,2.63,4.93,3.62,"9,660.60",19.58,15.47,16.31,17.95,18.73,19.58,70.60,85.29,90.08,92.97,93.25,4.60,5.27,14.57,5.25,7.05,34.29,7.28,7.38,1.37,7.28,4.22,(42.03),4.26,3.09,(27.46),,,,3.13,14.57,,70.60,14.57
Sunny Optical Technology (Group) Company Limited (SEHK:2382),4971046,SEHK,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Electronic Components; Electronic Components; Optoelectronics",0.49,0.48,0.43,1.20,0.71,"40,480.42",5.11,36.52,33.43,26.81,11.49,5.11,15.56,16.35,19.79,43.97,NA,65.85,134.90,104.86,139.00,169.70,22.09,177.00,246.60,39.32,250.00,92.85,(62.86),95.90,70.85,(26.12),,,,0.49,104.86,,15.56,104.86
Swire Pacific Limited (SEHK:19),4210824,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,4.35,5.47,4.51,4.00,4.61,"78,856.96",9.31,3.62,(1.56),2.09,1.85,9.31,41.67,NM,96.65,89.02,47.27,79.85,72.40,(9.33),72.90,43.00,(41.02),44.45,44.35,(0.22),44.90,68.70,53.01,66.70,66.10,(0.90),,,,4.35,-9.33,,41.67,-9.33
Swire Properties Limited (SEHK:1972),4253046,SEHK,Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Operators And Lessors; Nonresidential Building Operators and Lessors; Real Estate Management and Development; Real Estate Management Services; Nonresidential Property Managers; Residential Property Managers; Residential Building Operators and Lessors,3.33,3.95,4.71,4.84,6.39,"87,048.00",0.95,4.72,1.40,2.49,2.81,0.95,38.43,130.00,77.87,73.53,233.33,27.25,25.85,(5.14),25.70,22.55,(12.26),23.30,19.54,(16.14),20.20,19.84,(1.78),20.65,15.80,(23.49),,,,3.33,-5.14,,38.43,-5.14
Techtronic Industries Company Limited (SEHK:669),4911120,SEHK,Industrials; Capital Goods; Machinery; Industrial Machinery and Supplies and Components,1.49,1.00,1.08,2.24,1.99,"191,164.06",17.83,19.07,21.95,25.49,21.70,17.83,36.36,32.67,35.86,42.74,44.74,41.10,63.55,54.62,64.75,110.60,70.81,114.30,155.20,35.78,157.60,87.10,(44.73),88.35,93.05,5.32,,,,1.49,54.62,,36.36,54.62
Tencent Holdings Limited (SEHK:700),4329847,SEHK,Media and Entertainment; Online Services; Social Media and Networking Platforms; Communication Services; Interactive Media and Services; Interactive Media and Services,0.27,0.21,0.35,0.48,0.82,"2,808,882.33",14.25,22.70,25.28,27.53,22.74,14.25,8.91,6.47,5.56,6.88,18.21,306.60,375.60,22.50,382.40,564.00,47.49,572.50,456.80,(20.21),453.80,334.00,(26.40),345.20,293.60,(14.95),,,,0.27,22.50,,8.91,22.50
"The Bank of East Asia, Limited (SEHK:23)",4073180,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,2.47,3.08,5.27,5.39,5.50,"24,279.26",3.85,3.13,3.30,4.62,3.94,3.85,51.44,41.29,45.82,61.21,40.91,24.60,17.40,(29.27),17.74,16.56,(6.65),16.64,11.20,(32.69),11.30,9.46,(16.28),9.50,9.64,1.47,,,,2.47,-29.27,,51.44,-29.27
